date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2022-02-18,120933.58222222194,2762.0546167755074,3007.744774752094,819,502,304,294,366,214,145,200,103,37
2022-02-19,121141.89206424534,3216.0546167755074,1366.9447747520942,671,194,135,96,95,63,30,43,28,3
2022-02-20,121958.90190626876,2183.9546167755075,1561.611441418761,628,324,123,102,113,65,56,65,41,9
2022-02-21,122407.91174829217,2010.621283442174,2003.7490104295312,546,387,255,162,159,126,100,156,71,20
2022-02-22,122585.32861810092,2181.165880238264,3614.749010429531,691,633,644,334,355,278,176,232,172,58
2022-02-23,121845.74548790965,2875.165880238264,3237.9156770961977,734,365,455,371,348,301,148,251,167,53
2022-02-24,121532.66235771838,2924.832546904931,3240.749010429531,765,395,354,342,401,318,179,252,172,52
2022-02-25,121004.57922752711,2712.665880238264,3042.391867572388,803,451,285,304,361,236,141,217,142,47
2022-02-26,121130.99609733584,3168.8087373811213,1390.8918675723883,658,178,108,95,114,82,47,56,45,3
2022-02-27,121937.24630047791,2197.1420707144543,1563.3918675723883,612,312,112,123,113,91,42,74,41,17
2022-02-28,122168.49650361997,1794.6420707144546,3782.683534239055,666,860,480,316,385,334,191,281,188,61
2022-03-01,121283.62170676205,2897.8087373811213,3028.3502009057215,717,288,420,278,344,256,160,248,172,50
2022-03-02,121334.66357657078,3079.3920707144543,3336.914964564408,808,388,398,304,423,312,159,267,191,64
2022-03-03,121083.52404674783,3085.775434741465,3301.4982978977414,849,440,329,293,432,296,140,257,178,65
2022-03-04,121049.8845169249,3267.8587680747983,2962.055440754884,910,462,275,282,301,247,141,178,101,24
2022-03-05,121529.94498710195,3442.115910931941,1399.8392595251105,660,191,119,91,107,66,39,46,32,5
2022-03-06,122398.20885533726,2268.10312776042,1814.7559261917772,692,396,132,105,129,90,46,99,74,17
2022-03-07,122588.5560569059,2005.1031277604202,3617.0684261917772,754,856,480,270,358,286,150,241,146,38
2022-03-08,121761.40325847454,2789.91562776042,3197.4434261917772,737,385,536,278,375,281,157,210,146,45
2022-03-09,121514.51831718604,2950.5584849032775,3526.948344224564,755,402,419,357,424,315,172,304,225,88
2022-03-10,120988.49485130738,3000.9248783459,3091.4478530654287,772,437,358,312,375,261,127,236,139,36
2022-03-11,120880.73120861143,2983.6842103694757,2848.4954721130475,844,471,302,267,295,199,112,185,100,31
2022-03-12,121120.75328020118,3088.5175437028092,1293.328805446381,627,169,94,105,91,69,34,46,33,5
2022-03-13,121737.60868512429,1910.184210369476,1590.828805446381,580,328,121,104,139,96,52,61,57,30
2022-03-14,121971.96409004738,1825.184210369476,3465.828805446381,694,780,516,245,298,292,143,247,147,63
2022-03-15,121425.31949497048,2919.1842103694757,3290.543091160667,750,331,497,321,339,303,169,261,182,78
2022-03-16,121200.38918560786,3065.6127817980473,3270.043091160667,796,350,392,338,336,286,126,221,147,234
2022-03-17,121237.45887624523,3307.1127817980473,3311.043091160667,809,470,297,383,386,309,146,284,160,66
2022-03-18,121200.19523354928,3273.779448464714,3021.376424494,991,484,279,278,267,229,107,200,96,31
2022-03-19,121299.09825751999,3120.279448464714,1366.376424494,674,201,89,84,117,61,25,47,29,7
2022-03-20,122140.00128149071,2207.279448464714,1450.376424494,589,297,123,102,100,91,36,53,32,9
2022-03-21,122501.23763879476,1811.6127817980473,3841.668091160667,742,818,531,305,392,353,179,249,159,61
2022-03-22,121883.22399609881,3223.654448464714,3461.6204721130475,807,338,558,319,404,307,174,252,186,71
2022-03-23,121440.35321054571,3018.749686559952,3760.669083224159,810,388,384,293,423,382,185,383,290,126
2022-03-24,121303.98242499262,3624.298297671063,3350.1993251596427,909,482,301,326,360,307,145,245,145,57
2022-03-25,121089.05854804166,3135.2754482086975,2821.896150556468,906,446,285,248,296,231,80,139,112,29
2022-03-26,121383.648956805,3116.4865593198087,3333.396150556468,688,228,185,196,288,287,176,406,370,55
2022-03-27,120189.73936556836,2139.4865593198087,1739.396150556468,592,357,165,149,119,93,54,82,43,21
2022-03-28,120343.3297743317,1892.9865593198087,3464.0618848222025,648,820,551,301,307,306,132,200,138,52
2022-03-29,119756.09326001811,2876.82537050862,2810.9924403777577,684,291,408,308,289,223,129,205,131,53
2022-03-30,119611.16230126008,2666.0614816197312,3028.525773711091,736,382,391,336,350,294,162,229,164,75
2022-03-31,119409.59800916872,2826.961481619731,3229.650773711091,751,432,298,344,402,309,140,234,151,58
2022-04-01,119266.90871707736,3086.961481619731,3204.872995933313,879,436,303,318,393,278,135,210,160,42
2022-04-02,119408.219424986,3346.183703841953,1335.8618848222022,657,195,115,82,102,61,23,32,26,1
